filename,class,environment
waterdrops-72206.mp3,Faucet Drip,unknown
running-water-various-pressure-32440.mp3,Faucet Drip,unknown
faucet-sink-drain-gurgling-29577.mp3,Faucet Drip,nature
leaky-faucetdistant-84659.mp3,Faucet Drip,unknown
drip-coffee-33785.mp3,Faucet Drip,unknown
squeaky-old-faucet-197041.mp3,Faucet Drip,unknown
faucet-flow_1-60706.mp3,Faucet Drip,unknown
shower-turn-on-run-turn-off-drain-water-6283.mp3,Faucet Drip,nature
bathroom-faucet-45181.mp3,Faucet Drip,indoor
tap_water_glass_medium_drip-20120409-233646-18950.mp3,Faucet Drip,unknown
pouring-a-beer-from-the-tap-45071.mp3,Faucet Drip,unknown
046528_dripping-faucet-2-69602.mp3,Faucet Drip,unknown
water-drip-7-39622.mp3,Faucet Drip,unknown
faucet-drips-ambience-202540.mp3,Faucet Drip,unknown
metal-knocking-100836.mp3,Knocking,unknown
knocking-on-a-wooden-door-100542.mp3,Knocking,wooden
wood-door-knock-106669.mp3,Knocking,wooden
door-knocking-angry-88120.mp3,Knocking,unknown
door-knock-175164.mp3,Knocking,unknown
knocking-knock-big-reverb-101984.mp3,Knocking,unknown
glass-knock-5-189101.mp3,Knocking,unknown
the-knocking-257713.mp3,Knocking,unknown
knocking-on-door-66750.mp3,Knocking,unknown
knocking-on-a-window-104412.mp3,Knocking,nature
rapid-knocking-45008.mp3,Knocking,unknown
knocking-on-door-6022.mp3,Knocking,unknown
door-knocking-sound-high-quality-95563.mp3,Knocking,unknown
knocking-out-the-door-by-foot-64308.mp3,Knocking,unknown
door-knocking-89062.mp3,Knocking,unknown
knocking-on-a-metal-door-226310.mp3,Knocking,unknown
knocking-knock-big-reverb-101984 (1).mp3,Knocking,unknown
knocking-on-window-99754.mp3,Knocking,nature
knocking-202927.mp3,Knocking,unknown
door-knocking-175163.mp3,Knocking,unknown
door-knock-175164 (1).mp3,Knocking,unknown
poltergeist-knocking-227003.mp3,Knocking,unknown
door-knock-291150.mp3,Knocking,unknown
door-knocking-44953.mp3,Knocking,unknown
knocking-on-door-27948.mp3,Knocking,unknown
knocking-sound-41551.mp3,Knocking,unknown
knocking-on-door-266504.mp3,Knocking,unknown
door-knocking-and-opening-240831.mp3,Knocking,unknown
glass-knock-12-189878.mp3,Knocking,unknown
knocking-97161.mp3,Knocking,unknown
open-and-closed-door-.mp3,Door Sounds,unknown
loud-door-shut-noise-221707.mp3,Door Sounds,unknown
door-close-79921.mp3,Door Sounds,unknown
door-4-98809.mp3,Door Sounds,unknown
opening-door-33897.mp3,Door Sounds,unknown
door-6963.mp3,Door Sounds,unknown
door-noise-creak-236022.mp3,Door Sounds,unknown
door knock.mp3,Door Sounds,unknown
opening-metal-door-98518.mp3,Door Sounds,unknown
squeaking-door-184819.mp3,Door Sounds,unknown
knocking-on-door-6022.mp3,Door Sounds,unknown
extremely-squeaky-door-29368.mp3,Door Sounds,unknown
wooden-door-knock-102902 (1).mp3,Door Sounds,wooden
person-knocking-18474.mp3,Door Sounds,unknown
door-43633.mp3,Door Sounds,unknown
unlock-the-door-226797.mp3,Door Sounds,unknown
door-closing-229310.mp3,Door Sounds,unknown
angrily slam.mp3,Door Sounds,unknown
locking.mp3,Door Sounds,unknown
wooden-slide-door-sound-227004 (1).mp3,Door Sounds,wooden
locking-door-6854.mp3,Door Sounds,unknown
open-door-sound-247415.mp3,Door Sounds,unknown
person-knocking-18474 (1).mp3,Door Sounds,unknown
wooden-door-knock-102902.mp3,Door Sounds,wooden
close-door-sound-247450.mp3,Door Sounds,unknown
door-open-and-shut-142487.mp3,Door Sounds,unknown
door-slam-.mp3,Door Sounds,unknown
wooden-slide-door-sound-227004.mp3,Door Sounds,wooden
open-and-closed-.mp3,Door Sounds,unknown
opening-metal-door-98518 (1).mp3,Door Sounds,unknown
coughing-type-sound-effect-04-294174.mp3,Coughing,unknown
coughing-47345.mp3,Coughing,unknown
sick-coughing-277780.mp3,Coughing,unknown
coughing-sound-effect-type-07-294176.mp3,Coughing,unknown
coughing-man-242770.mp3,Coughing,unknown
coughing-sfx-82776.mp3,Coughing,unknown
065504_young-male-coughing-81733.mp3,Coughing,unknown
coughing-81088.mp3,Coughing,unknown
cough-104521.mp3,Coughing,unknown
wheezy-coughing-83635.mp3,Coughing,unknown
coughing-sound-effect-type-12-294171.mp3,Coughing,unknown
coughing-cough-89784.mp3,Coughing,unknown
coughing-sound-effect-type-09-294173.mp3,Coughing,unknown
cold-and-coughing-287345.mp3,Coughing,unknown
man-coughing-47879 (1).mp3,Coughing,unknown
cough-80945.mp3,Coughing,unknown
coughing-70060.mp3,Coughing,unknown
coughing-sound-effect-type-06-294181.mp3,Coughing,unknown
coughing-sound-effect-type-11-294172.mp3,Coughing,unknown
coughing-sound-effect-type-10-294179.mp3,Coughing,unknown
coughing-82093.mp3,Coughing,unknown
pretentious-female-cough-theatrical-amp-dramatic-sound-effect-307276.mp3,Coughing,unknown
man-coughing-47879.mp3,Coughing,unknown
coughing-grandpa-1-189848.mp3,Coughing,unknown
man-coughing-cough-101979.mp3,Coughing,unknown
hair-dryer-29919.mp3,Dryer Buzz,unknown
shoes-in-dryer-78273.mp3,Dryer Buzz,unknown
sci-fi-sound-effect-designed-circuits-hum-24-200825.mp3,Dryer Buzz,unknown
buzz-buzz-95806.mp3,Dryer Buzz,unknown
200127-light-switch-click-on-off-buzz-ring-fluorescent-close-58771.mp3,Dryer Buzz,unknown
dryer-104886.mp3,Dryer Buzz,unknown
buzz-buzzer-buzzing-sound-effect-80385.mp3,Dryer Buzz,unknown
dryer-door-opening-and-closing-28490.mp3,Dryer Buzz,unknown
sci-fi-sound-effect-designed-circuits-hum-10-200831.mp3,Dryer Buzz,unknown
dryer_on_front_24_96_mono-78023.mp3,Dryer Buzz,unknown
hair-dryer-159138.mp3,Dryer Buzz,unknown
hair-dryer-77605.mp3,Dryer Buzz,unknown
electric-buzz-8456.mp3,Dryer Buzz,unknown
dryer-machine-20324.mp3,Dryer Buzz,unknown
bee-buzzing-6254.mp3,Dryer Buzz,unknown
clothes-dryer-door-closing-80370.mp3,Dryer Buzz,unknown
dryer-85359.mp3,Dryer Buzz,unknown
hair-dryer-air-blow-30633.mp3,Dryer Buzz,unknown
dryer-86202.mp3,Dryer Buzz,unknown
blow-dryer-27820.mp3,Dryer Buzz,unknown
050609_hair-dryer-blowdryerwav-93065.mp3,Dryer Buzz,unknown
hair-dryer-58299.mp3,Dryer Buzz,unknown
dryer-running-230925.mp3,Dryer Buzz,unknown
flies-buzzing-47157.mp3,Dryer Buzz,unknown
lamp-buzz-6132.mp3,Dryer Buzz,unknown
single-mosquito-buzz-69360.mp3,Dryer Buzz,unknown
electric-buzz-8456 (1).mp3,Dryer Buzz,unknown
dryer-45517.mp3,Dryer Buzz,unknown
error_sound-221445.mp3,Dryer Buzz,unknown
hair-dryer-225441.mp3,Dryer Buzz,unknown
sliding-doors-kitchen-part-2-79270.mp3,Sliding Door,indoor
sliding-doors-14801.mp3,Sliding Door,unknown
sliding-door-sound-224162.mp3,Sliding Door,unknown
sliding-noise-v2-83483.mp3,Sliding Door,unknown
sliding-window-sound-227893.mp3,Sliding Door,nature
sliding-door-261122.mp3,Sliding Door,unknown
open-sliding-door-105746.mp3,Sliding Door,unknown
foley-bedroom-closet-sliding-door-opening-and-closing-240292.mp3,Sliding Door,indoor
sliding-door-69282.mp3,Sliding Door,unknown
barn-wooden-sliding-door-308389.mp3,Sliding Door,wooden
door_sliding_fthrll-75197.mp3,Sliding Door,unknown
sliding_glass_door-36059.mp3,Sliding Door,unknown
sliding-door-6758.mp3,Sliding Door,unknown
035784_hospital-sliding-door-open-amp-close-with-general-ambiance-v2-70478.mp3,Sliding Door,unknown
closet-93596.mp3,Sliding Door,unknown
wooden-sliding-door-72283.mp3,Sliding Door,wooden
068689_73911-sliding-door-64882.mp3,Sliding Door,unknown
sliding_glass_door-94406.mp3,Sliding Door,unknown
035396_hospital-sliding-door-open-amp-close-with-general-ambiance-v1-70479.mp3,Sliding Door,unknown
sliding_glass_door-36060.mp3,Sliding Door,unknown
falling-259680.mp3,Book Falling,unknown
book-closing-48184.mp3,Book Falling,unknown
heavy-book-falling-96257.mp3,Book Falling,unknown
book-dropped-onto-carpet-101474.mp3,Book Falling,vehicle
book-drop-30016.mp3,Book Falling,unknown
falling-book-29181.mp3,Book Falling,unknown
sliding-book-36725.mp3,Book Falling,unknown
book-closing-48311.mp3,Book Falling,unknown
book-falling-81232.mp3,Book Falling,unknown
book-hits-floor-79952.mp3,Book Falling,wooden
microwave-closing_1-2-107501.mp3,Microwave Door Closing,unknown
opening-closing-microwave-door-80333.mp3,Microwave Door Closing,unknown
open-door-on-the-microwave-281295.mp3,Microwave Door Closing,unknown
microwave-100162.mp3,Microwave Door Closing,unknown
Microwave door closing-85006.mp3,Microwave Door Closing,unknown
Microwave door closing98484.mp3,Microwave Door Closing,unknown
microwave-oven-door-switch-131815.mp3,Microwave Door Closing,unknown
microwave-door-close-90798.mp3,Microwave Door Closing,unknown
Microwave door closing-74480.mp3,Microwave Door Closing,unknown
microwave-door Microwave door closing-326196.mp3,Microwave Door Closing,unknown
microwave-popcorn-61481.mp3,Microwave Door Closing,unknown
microwave-oven-door-opening-closing-2011-94335.mp3,Microwave Door Closing,unknown
microwave-open-door-82492.mp3,Microwave Door Closing,unknown
close-door-on-the-microwave-281294.mp3,Microwave Door Closing,unknown
microwave-open_close-2-80004.mp3,Microwave Door Closing,unknown
Microwave door closing -99912.mp3,Microwave Door Closing,unknown
microwave-door-open close1-85007.mp3,Microwave Door Closing,unknown
open-and-close-the-microwave-sound-227894.mp3,Microwave Door Closing,unknown
closing-microwave-105752.mp3,Microwave Door Closing,unknown
microwave-open-close-button-running-70035.mp3,Microwave Door Closing,unknown
microwave-sound-63730.mp3,Microwave Door Closing,unknown
microwave-door-close2-85005.mp3,Microwave Door Closing,unknown
microwave-door-close1-85004.mp3,Microwave Door Closing,unknown
microwave-door-open-amp-closing-326196 (1).mp3,Microwave Door Closing,unknown
straw-broom-sweeping-hard-92376.mp3,Broom Sweeping,indoor
sweeping-100067.mp3,Broom Sweeping,unknown
sweeping-chips-and-beer-cap-on-floor_1-79262.mp3,Broom Sweeping,wooden
broom-sweep-tile-floor-27712.mp3,Broom Sweeping,indoor
sweeping-chips-on-floor_4-100980.mp3,Broom Sweeping,wooden
broom-sweeping-27945.mp3,Broom Sweeping,indoor
zapsplat_household_broom_brush_soft_bristles_sweeping_wet_puddle_concrete_112776.mp3,Broom Sweeping,indoor
zapsplat_household_broom_brush_soft_bristles_sweeping_wet_gravel_002_112775.mp3,Broom Sweeping,indoor
sweeping-the-front-63473.mp3,Broom Sweeping,unknown
sfx_broom_grass_sweep_001-91926.mp3,Broom Sweeping,indoor
broom-sweeping-66465.mp3,Broom Sweeping,indoor
35barrer_con_escoba-98393.mp3,Broom Sweeping,unknown
broom-sweeping-26931.mp3,Broom Sweeping,indoor
zapsplat_household_broom_brush_soft_bristles_sweeping_wet_gravel_001_112774.mp3,Broom Sweeping,indoor
sweeping-39862.mp3,Broom Sweeping,unknown
sweeping-44962.mp3,Broom Sweeping,unknown
sweeping-38385.mp3,Broom Sweeping,unknown
zapsplat_household_broom_stiff_brush_sweeping_wet_paving_stones_002_100945.mp3,Broom Sweeping,indoor
broom-sweep-106601.mp3,Broom Sweeping,indoor
sweeping-chips-on-floor_2-100978.mp3,Broom Sweeping,wooden
sweeping-on-carpet-68752.mp3,Broom Sweeping,vehicle
electric-razor-shaving-face-32928.mp3,Electric Razor,unknown
041431_electric-razor-10-69371.mp3,Electric Razor,unknown
electric-razor-passing-a-microphone-27188.mp3,Electric Razor,unknown
click-electric-razor-55371.mp3,Electric Razor,unknown
razor-71476.mp3,Electric Razor,unknown
electric-trimmer-95126.mp3,Electric Razor,unknown
electric-razor-low-38738.mp3,Electric Razor,unknown
electric-shaver-different-shaving-modes-68603.mp3,Electric Razor,unknown
electric-shaver-shaving-57443.mp3,Electric Razor,unknown
razor-64128.mp3,Electric Razor,unknown
electric-razor-63452.mp3,Electric Razor,unknown
electric-razor-shaver-65330.mp3,Electric Razor,unknown
electric-razor-71767.mp3,Electric Razor,unknown
electric-razor-cutting-hair-44924.mp3,Electric Razor,unknown
electric-razor_1-2-106585.mp3,Electric Razor,unknown
024588_contact-microphone-on-an-electric-razor-2-69573.mp3,Electric Razor,unknown
electric-razor-38739.mp3,Electric Razor,unknown
razor-33008.mp3,Electric Razor,unknown
electric-razor-46272.mp3,Electric Razor,unknown
shaving-33010.mp3,Electric Razor,unknown
foley-electric-razor-238005.mp3,Electric Razor,unknown
walking-up-the-stairs-268464.mp3,Footsteps on Stairs,unknown
Footsteps on stairs-75638.mp3,Footsteps on Stairs,unknown
footsteps-on-stairs-mastered-98753.mp3,Footsteps on Stairs,unknown
steps-on-wooden-stairs-90107.mp3,Footsteps on Stairs,wooden
running-up-Footsteps on stairs-98029.mp3,Footsteps on Stairs,unknown
footsteps-down-stairs-44833.mp3,Footsteps on Stairs,unknown
footsteps-stairs-fast-90220.mp3,Footsteps on Stairs,unknown
footsteps-on-stairs_01-98640.mp3,Footsteps on Stairs,unknown
footsteps-stairs-slow-106711.mp3,Footsteps on Stairs,unknown
walking-stairs-Footsteps on stairs-69452.mp3,Footsteps on Stairs,unknown
steps-on-stairs-102729.mp3,Footsteps on Stairs,unknown
footsteps-on-wood-stairs-73711.mp3,Footsteps on Stairs,wooden
walking-up-stairs-86304.mp3,Footsteps on Stairs,unknown
Footsteps on stairs footsteps-1-6265.mp3,Footsteps on Stairs,unknown
footsteps-on-stairs-100806.mp3,Footsteps on Stairs,unknown
2-Footsteps on stairsfootsteps-25941.mp3,Footsteps on Stairs,unknown
metal-stairs-foot-steps-29688.mp3,Footsteps on Stairs,unknown
walking-down-the-stairs-81290.mp3,Footsteps on Stairs,unknown
Footsteps on stairs-on-wooden-stairs-69847.mp3,Footsteps on Stairs,wooden
cooking-gas-burner-72460.mp3,Cooking Sizzle,unknown
cooking-prep-59207 (1).mp3,Cooking Sizzle,unknown
food-cooking-in-frying-pan-71250.mp3,Cooking Sizzle,unknown
cooking-kitchen-food-mastered-64876.mp3,Cooking Sizzle,indoor
blender-72304.mp3,Cooking Sizzle,unknown
cooking-onions-72799.mp3,Cooking Sizzle,unknown
grating-carrots-302357.mp3,Cooking Sizzle,vehicle
cooking-on-gas-75804.mp3,Cooking Sizzle,unknown
knife-and-chopping-board-306657.mp3,Cooking Sizzle,unknown
cooking-on-gas-75804 (1).mp3,Cooking Sizzle,unknown
cooking-oil-sizzle-1-171525.mp3,Cooking Sizzle,unknown
grandma-cooking-51988.mp3,Cooking Sizzle,unknown
cooking-steak-23404.mp3,Cooking Sizzle,unknown
wood-heat-stove-burning-and-people-cooking-19235.mp3,Cooking Sizzle,wooden
frying-steak-74556.mp3,Cooking Sizzle,unknown
gas-stove-sound-222434.mp3,Cooking Sizzle,unknown
cooking-in-a-wok-56682.mp3,Cooking Sizzle,unknown
cooking-prep-59207.mp3,Cooking Sizzle,unknown
cooking-34405.mp3,Cooking Sizzle,unknown
cooking-breakfast-49550.mp3,Cooking Sizzle,unknown
cooking-frying-1-71871.mp3,Cooking Sizzle,unknown
cooking-loop-99403.mp3,Cooking Sizzle,unknown
cutting-board-chops-scrapes-61998.mp3,Cooking Sizzle,unknown
cooking-55001.mp3,Cooking Sizzle,unknown
place-the-pan-on-the-gas-stove-sound-227897.mp3,Cooking Sizzle,unknown
cooking-in-cooking-pot-129386.mp3,Cooking Sizzle,unknown
kitchen-29815.mp3,Cooking Sizzle,indoor
stirring-the-pot-66746.mp3,Cooking Sizzle,unknown
knife-slicing-48001.mp3,Cooking Sizzle,unknown
cooking-sound-201119.mp3,Cooking Sizzle,unknown
698686__geoff-bremner-audio__270-calibre-gunshot-with-tail.mp3,Gunshot,unknown
235678__jsburgh__gunshot.mp3,Gunshot,unknown
397986__morganpurkis__meaty-gunshot-underwater.mp3,Gunshot,unknown
718174__tb0y298__pistol-shot-1.mp3,Gunshot,unknown
402789__acidsnowflake__small-pistol-gunshot-indoors.mp3,Gunshot,indoor
578189__jjcunning__gunshot-sound-identify-weapon.mp3,Gunshot,unknown
767901__mahecic__variation-gunshot-top-of-staircase.mp3,Gunshot,unknown
402009__eardeer__gunshot__high_2.mp3,Gunshot,unknown
382212__djfroyd__gunshot.mp3,Gunshot,unknown
516684__supreme1197__gunshot.mp3,Gunshot,unknown
242854__semagnum__laser-shot.mp3,Gunshot,unknown
399065__fastson__tikka-m65_2.mp3,Gunshot,unknown
249779__tehlordoswag420__smgshoot2.mp3,Gunshot,unknown
501101__evretro__8-bit-gunshot-2.mp3,Gunshot,unknown
638892__laurenponder__single-gunshot.mp3,Gunshot,unknown
524912__andrest2003__gunshot-pitch-a.mp3,Gunshot,unknown
681512__pnmcarrierailfan__desert-eagle-gunshot-mix-matrix-weapons.mp3,Gunshot,vehicle
569309__kobrakon47__saiga-12k-gunshot12ga.mp3,Gunshot,unknown
204011__duckduckpony__homemade-gunshot-3.mp3,Gunshot,indoor
386845__morganpurkis__single-gunshot-52.mp3,Gunshot,unknown
180961__kleeb__gunshots.mp3,Gunshot,unknown
320129__ylearkisto__pistooli-laukauksia-sisalla-pistol-shot-a-few-gunshots-interior.mp3,Gunshot,unknown
51749__erkanozan__gunshot.mp3,Gunshot,unknown
369528__johandeecke__short-gunshot.mp3,Gunshot,unknown
682467__supersouper__m1-garand-shot.mp3,Gunshot,unknown
341255__jeremysykes__gunshot00.mp3,Gunshot,unknown
718948__tb0y298__rifle-burstfire-1.mp3,Gunshot,unknown
210531__sclolex__distantshot.mp3,Gunshot,unknown
253436__deleted_user_4401185__gunshot-3.mp3,Gunshot,unknown
128296__xenonn__layered-gunshot-0.mp3,Gunshot,unknown
344142__brokenphono__gunshot_002.mp3,Gunshot,unknown
710084__felixblume__rifle-gunshot-one-shot.mp3,Gunshot,unknown
536630__snapssound__gunshot_01sse.mp3,Gunshot,unknown
415912__okieactor__heathers-gunshot-effect2.mp3,Gunshot,unknown
687398__ongiaunbg__9mm-_gunshot.mp3,Gunshot,unknown
Slippers walking-104198.mp3,Slippers Walking,unknown
Slippers walkingslowly-28128.mp3,Slippers Walking,unknown
footsteps-slipper-walk-leaves-night-01-33898.mp3,Slippers Walking,unknown
Slippers walking656.mp3,Slippers Walking,unknown
Slippers walking-30325.mp3,Slippers Walking,unknown
Slippers walking-295683.mp3,Slippers Walking,unknown
Slippers walking80308.mp3,Slippers Walking,unknown
Slippers walking-67670.mp3,Slippers Walking,unknown
walking-sound-effect-272246.mp3,Slippers Walking,unknown
Slippers walking-on-leaves-260279.mp3,Slippers Walking,unknown
026204_fast-writing-pen-to-paper-62247.mp3,Pen Writing,unknown
pen-68174.mp3,Pen Writing,unknown
writing-155389 (1).mp3,Pen Writing,unknown
writingpensignaturepaper-102967.mp3,Pen Writing,nature
writing-with-pen-55361.mp3,Pen Writing,unknown
writing-with-fountain-pen-nib-70563.mp3,Pen Writing,unknown
writing-89431.mp3,Pen Writing,unknown
writing-with-pen-35109.mp3,Pen Writing,unknown
pen-writing-82102.mp3,Pen Writing,unknown
writing-on-paper-29376 (1).mp3,Pen Writing,unknown
writing-155389.mp3,Pen Writing,unknown
pen-writing-on-paper-71212.mp3,Pen Writing,unknown
pen-write-scribble-dlugopis-pisanie-105298.mp3,Pen Writing,unknown
writing-on-paper-29376.mp3,Pen Writing,unknown
pen-write-35730.mp3,Pen Writing,unknown
pen-writing-on-paper-46352.mp3,Pen Writing,unknown
door-open-46756.mp3,Closet Door Opening,unknown
car-door-closing-and-opening-45512.mp3,Closet Door Opening,vehicle
opening-the-front-door-47333.mp3,Closet Door Opening,unknown
dorm-door-opening-6038.mp3,Closet Door Opening,unknown
door-closing-320890.mp3,Closet Door Opening,unknown
door-4-98809.mp3,Closet Door Opening,unknown
opening-door-33897.mp3,Closet Door Opening,unknown
door-open-close-45475.mp3,Closet Door Opening,unknown
opening-metal-door-98518.mp3,Closet Door Opening,unknown
open-and-closed-door-156814.mp3,Closet Door Opening,unknown
closet-door-open-near-79958.mp3,Closet Door Opening,unknown
door-43633.mp3,Closet Door Opening,unknown
door-opening-and-closing-18398.mp3,Closet Door Opening,unknown
main-door-opening-closing-38280.mp3,Closet Door Opening,unknown
car-door-opening-and-closing-106177.mp3,Closet Door Opening,vehicle
door-opening-and-closing-266505.mp3,Closet Door Opening,unknown
open-door-sound-247415.mp3,Closet Door Opening,unknown
closet-door-open-103069.mp3,Closet Door Opening,unknown
creaking-door-41706.mp3,Closet Door Opening,unknown
opening-losing-closet-door-179665.mp3,Closet Door Opening,unknown
closet-door-shut-79960.mp3,Closet Door Opening,unknown
opening-the-front-door-210347.mp3,Closet Door Opening,unknown
open-and-closed-door-reverb-206833.mp3,Closet Door Opening,unknown
closet-93596.mp3,Closet Door Opening,unknown
door-182645.mp3,Closet Door Opening,unknown
door-opening-and-closing-46085.mp3,Closet Door Opening,unknown
door-latch-opening-322052.mp3,Closet Door Opening,unknown
mixkit-blender-working-in-the-kitchen-119.mp3,Appliance Beep,indoor
mixkit-fridge-soft-motor-hum-1866.mp3,Appliance Beep,unknown
mixkit-small-stove-extractor-fan-1833.mp3,Appliance Beep,public
mixkit-kitchen-oven-open-1841.mp3,Appliance Beep,indoor
mixkit-hairdryer-hum-1894.mp3,Appliance Beep,unknown
mixkit-dishwasher-working-1828.mp3,Appliance Beep,unknown
mixkit-hairdryer-on-and-off-1895.mp3,Appliance Beep,unknown
mixkit-mowing-the-lawn-engine-hum-1919.mp3,Appliance Beep,unknown
mixkit-drill-on-and-off-1823.mp3,Appliance Beep,unknown
mixkit-washing-machine-working-1827.mp3,Appliance Beep,unknown
mixkit-electric-kitchen-mixer-stop-1811.mp3,Appliance Beep,indoor
mixkit-metal-button-push-1830.mp3,Appliance Beep,unknown
mixkit-blender-stop-1806.mp3,Appliance Beep,unknown
mixkit-appliance-ready-beep-1076.mp3,Appliance Beep,unknown
mixkit-electric-whisk-stops-1814.mp3,Appliance Beep,unknown
mixkit-stove-extractor-fan-starting-1832.mp3,Appliance Beep,unknown
mixkit-cassette-player-2556.mp3,Appliance Beep,unknown
mixkit-kitchen-oven-ding-1838.mp3,Appliance Beep,indoor
mixkit-refrigerator-door-close-1862.mp3,Appliance Beep,unknown
mixkit-stove-extractor-fan-1813.mp3,Appliance Beep,unknown
mixkit-toaster-pull-down-1869.mp3,Appliance Beep,unknown
mixkit-gas-stove-hum-1831.mp3,Appliance Beep,unknown
mixkit-washing-machine-close-1826.mp3,Appliance Beep,unknown
mixkit-refrigerator-hum-1837.mp3,Appliance Beep,unknown
mixkit-toaster-ready-1868.mp3,Appliance Beep,unknown
mixkit-dishwasher-starts-1829.mp3,Appliance Beep,unknown
mixkit-kitchen-toaster-pops-1821.mp3,Appliance Beep,indoor
mixkit-home-vacuum-engine-hum-1834.mp3,Appliance Beep,indoor
mixkit-mixing-cake-paste-with-blender-137.mp3,Appliance Beep,unknown
mixkit-kitchen-toaster-loading-1820.mp3,Appliance Beep,indoor
garbage-truck- garbage_disposal35171.mp3,Garbage Disposal,vehicle
garbage-disposal-88518.mp3,Garbage Disposal,unknown
garbage_disposal trash-can-101339.mp3,Garbage Disposal,unknown
039378_kitchen-sink-amp-garbage-disposalwav-79089.mp3,Garbage Disposal,indoor
garbage_disposal-56458.mp3,Garbage Disposal,unknown
garbage_disposal-102273.mp3,Garbage Disposal,unknown
garbage_disposal-45638.mp3,Garbage Disposal,unknown
garbage_disposal56.mp3,Garbage Disposal,unknown
garbage-disposal-running-31091.mp3,Garbage Disposal,unknown
garbage-disposal-82531 (1).mp3,Garbage Disposal,unknown
garbage-garbage_disposal53955.mp3,Garbage Disposal,unknown
garbage-crash-garbage_disposal-bags-55506.mp3,Garbage Disposal,unknown
garbage-bag-garbage_disposal89984.mp3,Garbage Disposal,unknown
garbage-disposal-82531.mp3,Garbage Disposal,unknown
garbage_disposal106624.mp3,Garbage Disposal,unknown
iron-whoosh-47121.mp3,Iron Steam,unknown
Iron steam-engine-37399.mp3,Iron Steam,unknown
Iron steam sound-15-36924.mp3,Iron Steam,unknown
Iron steam-with-bubbles-312339.mp3,Iron Steam,unknown
Iron steam-67052.mp3,Iron Steam,unknown
Iron steam-whistle-31814.mp3,Iron Steam,unknown
Iron steams-35710.mp3,Iron Steam,unknown
Iron steam-87118.mp3,Iron Steam,unknown
Iron steam-101163.mp3,Iron Steam,unknown
Iron steam-sfx-26907.mp3,Iron Steam,unknown
Iron steam-echos-143719.mp3,Iron Steam,unknown
iron-on-iron-63797.mp3,Iron Steam,unknown
Iron steam-bang-119810.mp3,Iron Steam,unknown
Iron steam-sauna-water-on-hot-rocks-sizzle-long-view-farm-ma-jan-98-26111.mp3,Iron Steam,unknown
steam-iron-used-on-board-31739.mp3,Iron Steam,unknown
ironer-steam-6990.mp3,Iron Steam,unknown
steam-47188.mp3,Iron Steam,unknown
Iron steam steam-2-36231.mp3,Iron Steam,unknown
door-bell-old-style-87092.mp3,Doorbell alert,unknown
doorbell3-39620.mp3,Doorbell alert,unknown
copper-bell-ding-25-204990.mp3,Doorbell alert,unknown
ding-dong-65621.mp3,Doorbell alert,unknown
church-bell-273815.mp3,Doorbell alert,unknown
door-4-98809.mp3,Doorbell alert,unknown
level-up-191997.mp3,Doorbell alert,unknown
person-knocking-18474.mp3,Doorbell alert,unknown
chime-alert-demo-309545.mp3,Doorbell alert,unknown
door-open-close-with-bell-96884.mp3,Doorbell alert,unknown
tram_bell_ride_door-18009.mp3,Doorbell alert,unknown
hostile-bell-3-244191.mp3,Doorbell alert,unknown
message-alert-190042.mp3,Doorbell alert,unknown
knocking-on-a-metal-door-226310.mp3,Doorbell alert,unknown
bell-notification-277267.mp3,Doorbell alert,unknown
door-chimes-66502.mp3,Doorbell alert,unknown
open-door-sound-247415.mp3,Doorbell alert,unknown
door-bell-sound-99933.mp3,Doorbell alert,unknown
electronic-doorbell-262895.mp3,Doorbell alert,unknown
close-door-sound-247450.mp3,Doorbell alert,unknown
warning-alert-this-is-not-a-test-141753.mp3,Doorbell alert,unknown
door-bell-sound-effect-297918.mp3,Doorbell alert,unknown
dingdong4-89792.mp3,Doorbell alert,unknown
notification-alert-269289.mp3,Doorbell alert,unknown
door_bell_campanello-porta_by-wikingo-voicemaker-95601.mp3,Doorbell alert,unknown
level-up-191997 (1).mp3,Doorbell alert,unknown
japan-eas-alarm-j-alert-262887.mp3,Doorbell alert,unknown
ding-dong-65621 (1).mp3,Doorbell alert,unknown
door-knocking-and-opening-240831.mp3,Doorbell alert,unknown
old-style-door-bell-101191.mp3,Doorbell alert,unknown
467173__williamjmeyer__field_la-rain_park_under-stone-bridge_04.mp3,Rainfall,outdoor
21190__uberhuberman__louisiana-rain-fast-drip.mp3,Rainfall,nature
378051__bajko__sfx_rain_heavy_thunder-02.mp3,Rainfall,nature
193876__mlaramie__even-more-rain.mp3,Rainfall,nature
353366__iafossi__rain-in-finland-helsinki-4.mp3,Rainfall,nature
321260__klankbeeld__rain-balcony-calm-suburb.mp3,Rainfall,nature
520259__benmerrill328__afternoon-rain-in-north-brooklyn-may-2020.mp3,Rainfall,nature
337791__miradeshazer__city-pouring-rain.mp3,Rainfall,nature
461386__coosemek__light-rain-in-house-with-birds.mp3,Rainfall,indoor
252901__kijjaz__20141026-bangkok-house-rain-03.mp3,Rainfall,indoor
486258__craigsmith__r22-22-rain-falls-on-wet-surface.mp3,Rainfall,nature
189873__macieyou__rain_1.mp3,Rainfall,nature
157487__loopbasedmusic__rain_near_smooth.mp3,Rainfall,nature
521807__klankbeeld__room-tone-wind-rain-03-200216_0114.mp3,Rainfall,indoor
88225__inchadney__rain.mp3,Rainfall,nature
